"","SN","TN","trial_type","RT","MT","tgt_jump","tgt_jump_size","tgt_error","clamp","clamp_size","Hand","Hand_raw","Exp","Hand_dt","RT_dt"
"1938",3,138,1,436.978553771973,326,1,4,-4,1,0,8.24044796118973,8.24044796118973,"Supp1",0.296503302280802,84.3999786376956
"1939",3,139,1,347.978607177734,373,1,4,-4,1,0,9.99905054560352,9.99905054560352,"Supp1",1.91611729413067,12.8000289916988
"1940",3,140,1,257.978538513184,321,1,4,-4,1,0,7.66310746989208,7.66310746989208,"Supp1",0.357079360429474,-68.600028991699
"1941",3,141,1,338.978607177734,374,1,4,-4,1,0,9.72059066402988,9.72059066402988,"Supp1",1.57541024636074,2.60002593994096
"1942",3,142,1,246.978576660156,326,1,4,-4,1,0,9.97611953126317,9.97611953126317,"Supp1",0.856256296867492,-78.8000000000002
"1943",3,143,1,266.978569030762,367,1,4,-4,1,0,6.80515336273528,6.80515336273528,"Supp1",-2.02765095196951,-24.800010681152
"1944",3,144,1,256.978630065918,317,1,4,-4,1,0,13.0382232020921,13.0382232020921,"Supp1",3.5975843560896,-16.5999542236328
"1945",3,145,1,311.978591918945,296,1,4,-4,1,0,7.33107886300644,7.33107886300644,"Supp1",-2.04315426161893,27.599996948242
"1946",3,146,1,268.978607177734,300,1,4,-4,1,0,10.6083159049905,10.6083159049905,"Supp1",1.056537732173,-1.39998779296906
"1947",3,147,1,274.978561401367,346,1,4,-4,1,0,8.44888466637201,8.44888466637201,"Supp1",-0.797446533467257,-1.00003051757818
"1948",3,148,1,252.978591918945,334,1,4,-4,1,0,10.3799368031122,10.3799368031122,"Supp1",0.418648915197549,-20.2000045776368
"1949",3,149,1,271.978652954102,303,1,4,-4,1,0,9.2232652084089,9.2232652084089,"Supp1",0.02496891923089,-4.19994812011657
"1950",3,150,1,294.978530883789,277,1,4,-4,1,0,6.86126497942399,6.86126497942399,"Supp1",-2.24306853303753,22.1999420166016
"1951",3,151,1,224.978591918945,318,1,4,-4,1,0,10.1259296060813,10.1259296060813,"Supp1",1.11807335340162,-38.9999938964846
"1952",3,152,1,227.978561401367,304,1,4,-4,1,0,8.85416282712278,8.85416282712278,"Supp1",-0.234749057707054,-26.6000244140626
"1953",3,153,1,353.978591918945,301,1,4,-4,1,0,8.92850561545835,8.92850561545835,"Supp1",0.129879968159287,79.2000061035154
"1954",3,154,1,302.978530883789,319,1,4,-4,1,0,9.28065017090344,9.28065017090344,"Supp1",0.470547531105469,21.999969482422
